22.05.31 11:37:47.417175  Debug     BlockExecutorTracer  Applying block 9738717
22.05.31 11:37:48.066306  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.066331  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Events, -> ret: 80d41e5e16056765bc8461851072c9d7
22.05.31 11:37:48.069147  Trace     StorageExtTracer  call 'ext_storage_clear_version_1', args: 26aa394eea5630e07c48ae0c9558cef780d41e5e16056765bc8461851072c9d7, -> ret: true
22.05.31 11:37:48.069360  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.069384  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: EventCount, -> ret: 0a98fdbe9ce6c55837576c60c7af3850
22.05.31 11:37:48.069854  Trace     StorageExtTracer  call 'ext_storage_clear_version_1', args: 26aa394eea5630e07c48ae0c9558cef70a98fdbe9ce6c55837576c60c7af3850, -> ret: true
22.05.31 11:37:48.069878  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.069897  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: EventTopics, -> ret: bb94e1c21adab714983cf06622e1de76
22.05.31 11:37:48.069945  Trace     StorageExtTracer  call 'ext_storage_clear_prefix_version_2', args: 26aa394eea5630e07c48ae0c9558cef7bb94e1c21adab714983cf06622e1de76, None, -> ret: void
22.05.31 11:37:48.070223  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.070242  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: LastRuntimeUpgrade, -> ret: f9cce9c888469bb1a0dceaa129672ef8
22.05.31 11:37:48.070290  Trace     StorageExtTracer  call 'ext_storage_get_version_1', args: 26aa394eea5630e07c48ae0c9558cef7f9cce9c888469bb1a0dceaa129672ef8, -> ret: 498f20706f6c6b61646f74
22.05.31 11:37:48.070423  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.070441  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: ExecutionPhase, -> ret: ff553b5a9862a516939d82b3d3d8661a
22.05.31 11:37:48.070543  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 26aa394eea5630e07c48ae0c9558cef7ff553b5a9862a516939d82b3d3d8661a, 02, -> ret: true
22.05.31 11:37:48.070603  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 3a65787472696e7369635f696e646578, 00000000, -> ret: true
22.05.31 11:37:48.070617  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.070634  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Number, -> ret: 02a5c1b19ab7a04f536c519aca4983ac
22.05.31 11:37:48.070703  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 26aa394eea5630e07c48ae0c9558cef702a5c1b19ab7a04f536c519aca4983ac, dd999400, -> ret: true
22.05.31 11:37:48.070715  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.070731  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Digest, -> ret: 99e7f93fc6a98f0874fd057f111c4d2d
22.05.31 11:37:48.071404  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 26aa394eea5630e07c48ae0c9558cef799e7f93fc6a98f0874fd057f111c4d2d, 040642414245b5010314000000d2fe6110000000001ad9cc5f8452565d059fb474349c65424fab09e3b04df41f35cf04f1ef642a01fea21f7e609c2e88eafc9c262f1fe32023bed5d24515e53ce71abe603975ed0d523ad75653f3a3266dc1eb69eb1368b8f0e9b4b3b5d5ef199ceca8ebccb2a60d, -> ret: true
22.05.31 11:37:48.071427  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.071444  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: ParentHash, -> ret: 8a42f33323cb5ced3b44dd825fda9fcc
22.05.31 11:37:48.071529  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 26aa394eea5630e07c48ae0c9558cef78a42f33323cb5ced3b44dd825fda9fcc, 150c1b00ebe808d0184d03cecac013da9c85387c22cb8f85fdce78c34d081cb5, -> ret: true
22.05.31 11:37:48.071553  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.071570  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: BlockHash, -> ret: a44704b568d21667356a5a050c118746
22.05.31 11:37:48.071817  Trace     CryptoExtensionT  call 'ext_hashing_twox_64_version_1', args: dc999400, -> ret: 0659131e3c368315
22.05.31 11:37:48.073788  Trace     StorageExtTracer  call 'ext_storage_set_version_1', args: 26aa394eea5630e07c48ae0c9558cef7a44704b568d21667356a5a050c1187460659131e3c368315dc999400, 150c1b00ebe808d0184d03cecac013da9c85387c22cb8f85fdce78c34d081cb5, -> ret: true
22.05.31 11:37:48.073814  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: System, -> ret: 26aa394eea5630e07c48ae0c9558cef7
22.05.31 11:37:48.073838  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: BlockWeight, -> ret: 34abf5cb34d6244378cddbf18e849d96
22.05.31 11:37:48.074058  Trace     StorageExtTracer  call 'ext_storage_clear_version_1', args: 26aa394eea5630e07c48ae0c9558cef734abf5cb34d6244378cddbf18e849d96, -> ret: true
22.05.31 11:37:48.074425  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Scheduler, -> ret: 3db7a24cfdc9de785974746c14a99df9
22.05.31 11:37:48.074449  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Agenda, -> ret: 1643f5419718219c95679ddd2d825574
22.05.31 11:37:48.074465  Trace     CryptoExtensionT  call 'ext_hashing_twox_64_version_1', args: dd999400, -> ret: 6b2ce0272688de6b
22.05.31 11:37:48.075931  Trace     StorageExtTracer  call 'ext_storage_get_version_1', args: 3db7a24cfdc9de785974746c14a99df91643f5419718219c95679ddd2d8255746b2ce0272688de6bdd999400, -> ret: 0401013064656d6f63726163390000003f000e16a9ad07f0ea8e95c15247ba05a2754405acbf4de6cea8fe0cfdb94196c609367039000000000000
22.05.31 11:37:48.078241  Trace     StorageExtTracer  call 'ext_storage_clear_version_1', args: 3db7a24cfdc9de785974746c14a99df91643f5419718219c95679ddd2d8255746b2ce0272688de6bdd999400, -> ret: true
22.05.31 11:37:48.080782  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Scheduler, -> ret: 3db7a24cfdc9de785974746c14a99df9
22.05.31 11:37:48.080798  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Lookup, -> ret: 891ad457bf4da54990fa84a2acb148a2
22.05.31 11:37:48.080846  Trace     CryptoExtensionT  call 'ext_hashing_twox_64_version_1', args: 3064656d6f6372616339000000, -> ret: adbb68711b57ae25
22.05.31 11:37:48.081939  Trace     StorageExtTracer  call 'ext_storage_clear_version_1', args: 3db7a24cfdc9de785974746c14a99df9891ad457bf4da54990fa84a2acb148a2adbb68711b57ae253064656d6f6372616339000000, -> ret: true
22.05.31 11:37:48.084310  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Democracy, -> ret: f2794c22e353e9a839f12faab03a911b
22.05.31 11:37:48.084333  Trace     CryptoExtensionT  call 'ext_hashing_twox_128_version_1', args: Preimages, -> ret: f68967d635641a7087e53f2bff1ecad3
